Name,Date,Ressource
Tempête 1er février 1953,1953/02/01,https://fr.wikipedia.org/wiki/Inondation_caus%C3%A9e_par_la_mer_du_Nord_en_1953
Ouragan de 1987,1987/10/15,https://fr.wikipedia.org/wiki/Temp%C3%AAte_de_1987
Daria,1990/01/25,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Daria
Vivian,1990/03/25,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Vivian
Wiebke,1990/03/01,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Wiebke
Anatol,1999/12/03,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Anatol
Lothar et Martin,1999/12/27,https://fr.wikipedia.org/wiki/Temp%C3%AAtes_de_fin_d%C3%A9cembre_1999_en_Europe
Erwin,2005/01/07,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Erwin
Kyrill,2007/01/15,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Kyrill
Per,2007/01/14,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Per
Emma,2008/02/29,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Emma
Klaus,2009/01/23,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Klaus
Quinten,2009/02/09,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Quinten
Tempête de neigne sur les Iles Britanniques,2009/02/01,https://fr.wikipedia.org/wiki/Temp%C3%AAte_de_neige_de_f%C3%A9vrier_2009_sur_les_%C3%AEles_britanniques
Tempête à Madère,2010/02/20,https://fr.wikipedia.org/wiki/Temp%C3%AAte_%C3%A0_Mad%C3%A8re_en_2010
Xynthia,2010/03/01,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Xynthia
Friedhelm,2011/12/13,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Friedhelm
Gunter,2011/12/15,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Gunter
Joachim,2011/12/15,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Joachim
Robert,2011/12/26,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Robert
Ulli,2012/01/01,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Ulli
Andrea,2012/01/03,https://fr.wikipedia.org/wiki/Temp%C3%AAte_Andrea
